report_date,year,quarter,revenue,time
12/27/2014,2014,4,19948000,86
09/06/2014,2014,3,17218000,85
06/14/2014,2014,2,16894000,84
03/22/2014,2014,1,12623000,83
12/28/2013,2013,4,20118000,82
09/07/2013,2013,3,16909000,81
06/15/2013,2013,2,16807000,80
03/23/2013,2013,1,12581000,79
12/29/2012,2012,4,19954000,78
09/08/2012,2012,3,16652000,77
06/16/2012,2012,2,16458000,76
03/24/2012,2012,1,12428000,75
12/31/2011,2011,4,20158000,74
09/03/2011,2011,3,17582000,73
06/11/2011,2011,2,16827000,72
03/19/2011,2011,1,11937000,71
12/25/2010,2010,4,18155000,70
09/04/2010,2010,3,15514000,69
06/12/2010,2010,2,14801000,68
03/20/2010,2010,1,9368000,67
12/26/2009,2009,4,13297000,66
09/05/2009,2009,3,11080000,65
06/13/2009,2009,2,10592000,64
03/21/2009,2009,1,8263000,63
12/27/2008,2008,4,12729000,62
09/06/2008,2008,3,11244000,61
06/14/2008,2008,2,10945000,60
03/22/2008,2008,1,8333000,59
12/29/2007,2007,4,12346000,58
09/08/2007,2007,3,10171000,57
06/16/2007,2007,2,9607000,56
03/24/2007,2007,1,7350000,55
12/30/2006,2006,4,10383000,54
09/09/2006,2006,3,8950000,53
06/17/2006,2006,2,8599000,52
03/25/2006,2006,1,7205000,51
12/31/2005,2005,4,10096000,50
09/03/2005,2005,3,8184000,49
06/11/2005,2005,2,7697000,48
03/19/2005,2005,1,6585000,47
12/25/2004,2004,4,8803000,46
09/04/2004,2004,3,7257000,45
06/12/2004,2004,2,7070000,44
03/20/2004,2004,1,6131000,43
12/27/2003,2003,4,8073000,42
09/06/2003,2003,3,6830000,41
06/14/2003,2003,2,6538000,40
03/22/2003,2003,1,5530000,39
12/28/2002,2002,4,7457000,38
09/07/2002,2002,3,6376000,37
06/15/2002,2002,2,6178000,36
03/23/2002,2002,1,5101000,35
12/29/2001,2001,4,7986000,34
09/08/2001,2001,3,6906000,33
06/16/2001,2001,2,5281000,32
03/24/2001,2001,1,4539000,31
12/30/2000,2000,4,6410000,30
09/02/2000,2000,3,4909000,29
06/10/2000,2000,2,4928000,28
03/18/2000,2000,1,4191000,27
12/25/1999,1999,4,5680000,26
09/04/1999,1999,3,4591000,25
06/12/1999,1999,2,4982000,24
03/20/1999,1999,1,5114000,23
12/26/1998,1998,4,7193000,22
09/05/1998,1998,3,5544000,21
06/13/1998,1998,2,5258000,20
03/21/1998,1998,1,4353000,19
12/27/1997,1997,4,6256000,18
09/06/1997,1997,3,5362000,17
06/14/1997,1997,2,7707000,16
03/22/1997,1997,1,6702000,15
12/28/1996,1996,4,9533000,14
09/07/1996,1996,3,7867000,13
06/15/1996,1996,2,7691000,12
03/23/1996,1996,1,6554000,11
12/30/1995,1995,4,9251300,10
09/09/1995,1995,3,7693100,9
06/17/1995,1995,2,7285800,8
03/25/1995,1995,1,6190800,7
12/31/1994,1994,4,9122500,6
09/03/1994,1994,3,7064000,5
06/11/1994,1994,2,6557000,4
03/19/1994,1994,1,5728900,3
12/25/1993,1993,4,7722400,2
09/04/1993,1993,3,6316400,1
